model,val loss,val F1,val IoU,val precision,val recall,test loss,test F1,test IoU,test precision,test recall,is best val loss,is best val F1,is best val IoU,is best val precision,is best val recall,is best test loss,is best test F1,is best test IoU,is best test precision,is best test recall
L2_0.1_3%,0.6612046360969543,0.4319285693001537,0.275452100487144,0.37582987757542297,0.5077129429508007,0.6150208711624146,0.5000512816466931,0.3333789185777404,0.4641550747509218,0.5419650529934116,False,False,False,False,False,False,False,False,False,False
L2_0.9_75%,0.4911077320575714,0.5122650333953894,0.3443254644773917,0.4594255157357667,0.5788384948686832,0.4392763376235962,0.5615297243700874,0.3903658865138461,0.5421798495282831,0.5823118723198673,False,False,False,False,False,True,True,True,False,False
L2_0.9_50%,0.5047175288200378,0.49990565147655436,0.3332494732538759,0.4129823915412743,0.6331742051661368,0.45588457584381104,0.544917034236505,0.3744920716260204,0.46132302777226214,0.6655108872708927,False,False,False,False,False,False,False,False,False,False
L2_0.9_25%,0.4999964237213135,0.5027284495264736,0.33576304135845025,0.4581504890818888,0.5569163062760506,0.45924121141433716,0.5414708819202411,0.3712444785696977,0.5392927725048136,0.5436666566907656,False,False,False,False,False,False,False,False,False,False
L2_0.9_3%,0.5944228172302246,0.41289024511928324,0.26015229498120945,0.32328340630957864,0.571219298119101,0.5488948822021484,0.4621213705040888,0.3004927447724297,0.3703798225398151,0.6142746593586066,False,False,False,False,False,False,False,False,False,False
L1_0.1_75%,0.5035805404186249,0.49971616567790644,0.3330810838895057,0.4243682302676738,0.6075969449040183,0.467243492603302,0.5333177642846023,0.3636218884347965,0.5119704543934931,0.556522742916754,False,False,False,False,False,False,False,False,False,False
L1_0.1_50%,0.5048770904541016,0.49944935553837605,0.332844051203331,0.4800689486097201,0.5204603659604453,0.47228413820266724,0.5284188477934165,0.35908237000798177,0.5530894438159704,0.5058551413656438,False,False,False,False,False,False,False,False,False,False
L1_0.1_25%,0.5251170694828033,0.4761317946843507,0.31244945791471923,0.37317312448185663,0.6575502778390161,0.4779653549194336,0.5244399946463366,0.3554175992460832,0.44186462025131074,0.644971932089766,False,False,False,False,False,False,False,False,False,False
L1_0.1_3%,0.9715866148471832,0.0,0.0,0.0,0.0,0.9694379568099976,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False
L1_0.9_75%,0.49670693278312683,0.5070569047761092,0.3396357881276565,0.4281285207120742,0.6216650561550047,0.4583675265312195,0.5422541064115932,0.3719812271786087,0.48571834636690026,0.6136846560665592,False,False,False,False,False,False,False,False,False,False
L1_0.9_50%,0.48645901679992676,0.519593038100237,0.3509798666668376,0.4817092272223298,0.5639441808333316,0.4435727000236511,0.5581668991582488,0.38712309963780656,0.5432293099820333,0.5739492169630221,True,True,True,False,False,False,False,False,False,False
L1_0.9_25%,0.6238671243190765,0.5008210470557076,0.33406355263467835,0.456157992388846,0.5551794261084201,0.5893756747245789,0.5490779419256241,0.3784337958541655,0.5245412745811807,0.5760227792575364,False,False,False,False,False,False,False,False,False,False
L1_0.9_3%,0.6748204827308655,0.43000474134792793,0.27388919742159656,0.377821188343431,0.49891316217268666,0.6370760202407837,0.4911158295795051,0.3254827900027881,0.45825510215418114,0.529053386747158,False,False,False,False,False,False,False,False,False,False
