model,val loss,val F1,val IoU,val precision,val recall,test loss,test F1,test IoU,test precision,test recall,is best val loss,is best val F1,is best val IoU,is best val precision,is best val recall,is best test loss,is best test F1,is best test IoU,is best test precision,is best test recall
IPAD1_75%,0.15245947241783142,0.942859781929589,0.8918966148602149,0.9360155575875436,0.9498048346230227,0.13999462127685547,0.9503121009534959,0.9053282426297593,0.9425469213974603,0.9582062903325488,False,False,False,False,False,False,False,False,False,False
IPAD1_50%,0.22141945362091064,0.9414341235393423,0.8893486409056107,0.9304285001163473,0.9527032247373618,0.2076369822025299,0.9468536422652053,0.8990712784705313,0.9339425534144632,0.9601267083593432,False,False,False,False,False,False,False,False,False,False
IPAD1_25%,0.29932546615600586,0.9402658814924933,0.8872658387339002,0.928042639889991,0.9528154049701175,0.2812225818634033,0.9481246579708897,0.9013659889982009,0.9346710452155823,0.9619712283272847,False,False,False,False,False,False,False,False,False,False
IPAD1_3%,0.3428298234939575,0.9200920173456704,0.8520096453812257,0.8933521938941806,0.9484819860814964,0.3271472156047821,0.9241089801120487,0.8589243362290447,0.8934628004221656,0.9569321886328955,False,False,False,False,False,False,False,False,False,False
IPAD2_75%,0.3266681432723999,0.9431807814154967,0.8924712617156856,0.932267815848136,0.9543522637040491,0.3080179691314697,0.949899474503185,0.9045795630411444,0.9407196830742792,0.959260189092621,False,False,False,False,False,False,False,False,False,False
IPAD2_50%,0.3484265208244324,0.9381073895222961,0.8834296239242858,0.9231448760568555,0.9535629246944448,0.3277781307697296,0.9481576273253411,0.9014255861496958,0.9323906796551696,0.9644669930677473,False,False,False,False,False,False,False,False,False,False
IPAD2_25%,0.35211601853370667,0.9434670837556236,0.892984089042238,0.9358603737936301,0.9511984623048804,0.33425888419151306,0.9494380514836083,0.9037430423064619,0.9417374305088888,0.9572656472473104,False,False,False,False,False,False,False,False,False,False
IPAD2_3%,0.409514456987381,0.8933534184193835,0.8072617159702534,0.8368394535991898,0.958053270451068,0.3901142477989197,0.9064082907629052,0.8288361031881164,0.8578474431387396,0.9607968783621238,False,False,False,False,False,False,False,False,False,False
L1_75%,0.15445885062217712,0.9456449882821623,0.8968942887096855,0.9382386405268361,0.9531691961235613,0.14319849014282227,0.9515292603972669,0.9075401195819758,0.9452729973902698,0.9578688889618299,False,False,False,False,False,False,False,False,False,False
L1_50%,0.15307658910751343,0.9438469420835287,0.8936649238563065,0.9342526934875629,0.9536402903722073,0.14140629768371582,0.9505035477393193,0.9056758083287232,0.9398157957340436,0.9614371819859013,False,False,False,False,False,False,False,False,False,False
L1_25%,0.1495884358882904,0.9449399669527478,0.8956267296217708,0.9470292260041763,0.9428599059170629,0.1374349296092987,0.9511455238263762,0.9068422220938557,0.9475616842525401,0.9547565757043217,False,False,False,False,False,False,False,False,False,False
L1_3%,0.37073466181755066,0.9156827363426752,0.8444786106735427,0.8745932867644498,0.9608233799078199,0.35261884331703186,0.9241782136266342,0.8590439655828801,0.8854916990888316,0.9663995350701766,False,False,False,False,False,False,False,False,False,False
L2_75%,0.15244707465171814,0.9476389045866458,0.9004883482645519,0.9476995456066826,0.9475782713266593,0.14158210158348083,0.9529045047570179,0.9100454629841506,0.9501041972169588,0.9557213681719223,False,True,True,True,False,False,True,True,False,False
L2_50%,0.15668481588363647,0.9406530906217941,0.8879556661697534,0.9216555838996779,0.9604502473349353,0.14374089241027832,0.9488184149886555,0.9026208492592797,0.9313506905716997,0.9669538866065258,False,False,False,False,False,False,False,False,False,False
L2_25%,0.14958637952804565,0.9430682469314514,0.8922697649999429,0.9302124976482373,0.9562843146838488,0.13742253184318542,0.9501416521621668,0.9050189048065089,0.9359739467382739,0.9647448588182751,False,False,False,False,False,False,False,False,False,False
L2_3%,0.43512797355651855,0.8894764265716879,0.8009523146147843,0.8246525211679222,0.9653610860050194,0.4158543050289154,0.9002678451334922,0.8186246452371596,0.8387910121662022,0.9714689339881069,False,False,False,False,False,False,False,False,False,False
L2_0.1_75%,0.11316096782684326,0.9428289429058804,0.8918414258308064,0.9439906991085528,0.9416700427027177,0.10220828652381897,0.9509157467312486,0.9064245734013946,0.9500597482064469,0.9517732891468634,False,False,False,False,False,False,False,False,False,False
L2_0.1_50%,0.1059969961643219,0.9450881362646069,0.8958929828678714,0.9503481465045228,0.9398860319927987,0.09627160429954529,0.9521425277375984,0.9086565233741689,0.9561710323965297,0.9481478261563833,False,False,False,False,False,False,False,False,False,False
L2_0.1_25%,0.10153129696846008,0.9413944383032906,0.88927781259192,0.9377445222959935,0.9450728779457113,0.09020474553108215,0.9500152407371482,0.9047895527589487,0.9460253829393525,0.9540388954880773,True,False,False,False,False,True,False,False,False,False
